"Location","lon","lat"
"Delhi",77.1024902,28.7040592
"Cebu",123.8854366,10.3156992
"Yamuna nagar",77.2673901,30.1290485
"Navotas City",120.9350106,14.6732182
"brits",-95.2360981,38.9664197
"Lahore",74.3587473,31.5203696
"Kolkata",88.363895,22.572646
"Mumbai",72.8776559,19.0759837
"A",-95.6990574,37.220166
"Amritsar",74.8722642,31.6339793
"Navi Mumbai",73.0296625,19.0330488
"mumbai",72.8776559,19.0759837
"Dhakan",NA,NA
"Lagos",3.3792057,6.5243793
"Angeles",120.5887029,15.1449853
"Bhagalpur",87.1198415,24.9506738
"Mandaluyong",121.0359174,14.5794443
"udaipur",73.712479,24.585445
"Bhopal",77.412615,23.2599333
"Talagang",72.4080605,32.917193
"Naic",-94.5825139,39.1005283
"Manila city",120.9842195,14.5995124
"Baclaran Parañaque",120.9971024,14.5294163
"Binan laguna",121.0781493,14.3036345
"Birmingham",-86.8103567,33.5185892
"Howrah",88.2636394,22.5957689
"London",-0.1277583,51.5073509
"Islamabad",73.0478848,33.6844202
"WB",-90.735018,38.804586
"Warren",-95.8098751,35.9913167
"Jammu",76.5761714,33.778175
"Beirut",35.5017767,33.8937913
"Bangalore",77.5945627,12.9715987
"Carnlough",-5.9924101,54.99032
"Southampton",-72.5678012,40.8598637
"Cheshunt",-0.028486,51.699888
"Ilagan",121.8734492,17.1381186
"Pune",73.8567437,18.5204303
"Abuja",7.398574,9.0764785
"BEAWAR",74.3199038,26.104585
"Quezon city",121.0437003,14.6760413
"pune",73.8567437,18.5204303
"tug",-81.7213631,30.1652848
"Ado",-99.501695,27.4603138
"Baguio",120.5960071,16.4023332
"Sutton Coldfield",-1.824042,52.570385
"Chandigarh",76.7794179,30.7333148
"Bristol",-2.58791,51.454513
"Raglan",-117.2515635,32.7460805
"Quetts",66.9749731,30.1798398
"Sylhet",91.8687063,24.8949294
"islamabad",73.0478848,33.6844202
"Las Ponas",120.9938736,14.444546
"Fife",-3.1495175,56.2082078
"Vasai",72.8397317,19.3919275
"Quezon",122.1130909,14.0313906
"Ahmedabad",72.5713621,23.022505
"Kumasi",-1.6162709,6.6666004
"city of manila",120.9842195,14.5995124
"Sheffield",-1.470085,53.381129
"Dhaka",90.4125181,23.810332
"Peshawar",71.5249154,34.0151366
"Leicester",-71.9086843,42.245926
"Manila",120.9842195,14.5995124
"Hyderabad",78.486671,17.385044
"Venado Tuerto",-61.9690161,-33.7455566
"Banglore",77.5945627,12.9715987
"Karachi",67.0011364,24.8607343
"caviteq",120.8969634,14.4791297
"Sunderland",-1.383801,54.906869
"Amrritsar",74.8722642,31.6339793
"Iligan",124.2452422,8.2280209
"Nueva Ecija",121.1112615,15.578375
"Faridabad",77.3177894,28.4089123
"Cavite",120.8969634,14.4791297
"Imus",-123.0980019,44.0541866
"Sauri",-88.0159974,42.0050035
"Lucban",121.5598345,14.1344459
"Batkhela",71.9282781,34.6137694
"MANSEHRA",73.1980009,34.3312587
"Isb",-76.74784,39.303025
"Faisalabad",73.1349605,31.4503662
"Thane",72.9780897,19.2183307
"Kerala",76.2710833,10.8505159
"Swansea",-3.943646,51.62144
"Makati",121.0244452,14.554729
"Vita",-95.712891,37.09024
"Morecambe",-2.864968,54.074166
"Santa teresita",-95.2513031,38.3197536
"Caloocan City",121.0449768,14.7565784
"Multan",71.5249154,30.157458
"Alfreton",-1.382256,53.09745
"Olongapo",120.2842023,14.8386303
